6,8,47221788,5902723,0.590272
6,9,55157110,6128567,0.612857
6,10,62687045,6268704,0.626870
6,11,71100941,6463721,0.646372
6,12,78849188,6570765,0.657077
6,13,84770385,6520798,0.652080
6,14,89323344,6380238,0.638024
6,15,94061117,6270741,0.627074
6,16,101576765,6348547,0.634855
6,17,112221376,6601257,0.660126
6,18,122515047,6806391,0.680639
6,19,132005263,6947645,0.694765
6,20,139512393,6975619,0.697562
6,21,148883087,7089670,0.708967
6,22,156602136,7118278,0.711828
6,23,166557201,7241617,0.724162
6,24,176372034,7348834,0.734883
6,25,187504902,7500196,0.750020
6,26,199926797,7689492,0.768949
6,27,214794512,7955352,0.795535
6,28,223401418,7978622,0.797862
6,29,233095166,8037764,0.803776
6,30,243311206,8110373,0.811037
6,31,255355613,8237277,0.823728
6,32,268007691,8375240,0.837524
7,1,0,0,0.000000
7,2,8007,4003,0.000400
7,3,10061319,3353773,0.335377
7,4,21252992,5313248,0.531325
7,5,33618534,6723706,0.672371
7,6,42238203,7039700,0.703970
7,7,50523330,7217618,0.721762
7,8,54710779,6838847,0.683885
7,9,61726005,6858445,0.685844
7,10,71437253,7143725,0.714373
7,11,81586176,7416925,0.741693
7,12,90660789,7555065,0.755507
7,13,98549557,7580735,0.758074
7,14,107735348,7695382,0.769538
7,15,113234191,7548946,0.754895
7,16,118628206,7414262,0.741426
7,17,125497021,7382177,0.738218
7,18,133389322,7410517,0.741052
7,19,142802270,7515908,0.751591
7,20,152240908,7612045,0.761205
7,21,163102419,7766781,0.776678
7,22,173364253,7880193,0.788019
7,23,183924632,7996723,0.799672
7,24,192000079,8000003,0.800000
7,25,202110158,8084406,0.808441
7,26,209240029,8047693,0.804769
7,27,218494751,8092398,0.809240
7,28,229257619,8187772,0.818777
7,29,242520996,8362792,0.836279
7,30,252857524,8428584,0.842858
7,31,264663087,8537518,0.853752
7,32,275866478,8620827,0.862083
8,1,0,0,0.000000
8,2,573252,286626,0.028663
8,3,10773144,3591048,0.359105
8,4,22924487,5731121,0.573112
8,5,39262275,7852455,0.785246
8,6,55049199,9174866,0.917487
8,7,66666760,9523822,0.952382
8,8,68374421,8546802,0.854680
8,9,74859246,8317694,0.831769
8,10,81034331,8103433,0.810343
8,11,90534635,8230421,0.823042
8,12,101827239,8485603,0.848560
8,13,112305621,8638893,0.863889
8,14,121999260,8714232,0.871423
8,15,132263992,8817599,0.881760
8,16,141621401,8851337,0.885134
8,17,153468978,9027586,0.902759
8,18,161319035,8962168,0.896217
8,19,168460033,8866317,0.886632
8,20,174411990,8720599,0.872060
8,21,186482785,8880132,0.888013
8,22,194601540,8845524,0.884552
8,23,207872222,9037922,0.903792
8,24,224131021,9338792,0.933879
8,25,232706283,9308251,0.930825
8,26,243930433,9381939,0.938194
8,27,253398746,9385138,0.938514
8,28,263451609,9408986,0.940899
8,29,273987050,9447829,0.944783
8,30,283960395,9465346,0.946535
8,31,294289991,9493225,0.949323
8,32,304199520,9506235,0.950623
